Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
PPCS	FLJ11838	ENSG00000127125	"Phosphopantothenoylcysteine synthetase"	Q9HAB8	1	42456117-42473385	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Ligase	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Distal tubular cells: 366.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031361, HPA031363"	Approved		Approved	Mitochondria		NA	NA		17000	"Cluster 45: Eosinophils - Innate immune response"	"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 38: Non-specific - mRNA processing"	"Cluster 16: Non-specific - RNA binding"	Mitochondria		"HPA031361: AB_10602150, HPA031363: AB_2673844"	"unprognostic (1.49e-1)"	"unprognostic (6.71e-2)"	"unprognostic (8.15e-2)"	"unprognostic (1.55e-1)"	"unprognostic (3.84e-3)"	"unprognostic (1.68e-2)"	"prognostic unfavorable (5.96e-5)"	"unprognostic (2.71e-1)"	"unprognostic (7.79e-3)"	"unprognostic (9.13e-3)"	"unprognostic (3.24e-2)"	"unprognostic (2.44e-1)"	"unprognostic (2.41e-2)"	"unprognostic (6.45e-2)"	"unprognostic (2.32e-1)"	"unprognostic (2.80e-1)"	"unprognostic (4.30e-2)"
PPIB	"B, CYP-S1, CYPB, OI9, PPIase, SCYLP"	ENSG00000166794	"Peptidylprolyl isomerase B"	P23284	15	64155740-64163134	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"		"Isomerase, Rotamase"	"Disease variant, Dwarfism, Osteogenesis imperfecta"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 1680.3;Plasma cells: 2392.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB011487, HPA012720"	Enhanced		Supported	"Nucleoplasm,Endoplasmic reticulum"	"Secreted to blood"	No	No		33000000	"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 29: Non-specific - Vesicular transport"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 40: Plasma cells - Humoral immune response"	"Endoplasmic reticulum"	Nucleoplasm	"CAB011487: AB_443295, HPA012720: AB_1847399"	"unprognostic (3.00e-3)"	"unprognostic (5.65e-3)"	"unprognostic (2.81e-1)"	"prognostic favorable (1.56e-5)"	"unprognostic (1.65e-1)"	"unprognostic (1.07e-3)"	"unprognostic (3.69e-2)"	"unprognostic (1.27e-2)"	"unprognostic (7.19e-2)"	"unprognostic (8.80e-3)"	"unprognostic (2.87e-1)"	"unprognostic (2.79e-2)"	"prognostic unfavorable (2.02e-11)"	"unprognostic (7.05e-2)"	"unprognostic (3.77e-2)"	"unprognostic (1.82e-1)"	"unprognostic (3.90e-2)"
PPIP5K2	"CFAP160, DFNB100, HISPPD1, KIAA0433, VIP2"	ENSG00000145725	"Diphosphoinositol pentakisphosphate kinase 2"	O43314	5	103120149-103212799	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	Hearing	"Kinase, Transferase"	"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Inhibitory neurons: 157.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA037895, HPA038442"	Approved		Approved	Vesicles		NA	NA			"Cluster 45: Eosinophils - Innate immune response"	"Cluster 34: Non-specific - Transcription"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 37: Neurons - Neuronal signaling"	Vesicles		"HPA037895: AB_2675724, HPA038442: AB_10673173"	"unprognostic (2.18e-1)"	"unprognostic (1.04e-1)"	"unprognostic (2.36e-2)"	"unprognostic (1.93e-1)"	"unprognostic (8.83e-2)"	"unprognostic (1.60e-3)"	"unprognostic (1.13e-1)"	"unprognostic (2.43e-1)"	"unprognostic (1.60e-2)"	"unprognostic (8.59e-3)"	"unprognostic (1.39e-1)"	"unprognostic (2.12e-1)"	"unprognostic (4.32e-2)"	"unprognostic (1.29e-1)"	"unprognostic (4.06e-1)"	"prognostic unfavorable (1.12e-4)"	"unprognostic (8.80e-2)"
PPM1D	"PP2C-DELTA, Wip1"	ENSG00000170836	"Protein phosphatase, Mg2+/Mn2+ dependent 1D"	O15297	17	60600183-60666280	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Cell cycle"	"Hydrolase, Protein phosphatase"	"Autism spectrum disorder, Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 76.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA022277, HPA061848"	Approved		Supported	Nucleoplasm,Nucleoli		NA	NA			"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 69: Cerebellum - Gene expression regulation"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 66: Endothelial cells - Angiogenesis"	Nucleoplasm	Nucleoli	"HPA022277: AB_1858839, HPA061848: "	"unprognostic (1.48e-1)"	"unprognostic (1.36e-2)"	"prognostic favorable (3.52e-4)"	"unprognostic (1.76e-1)"	"unprognostic (1.02e-1)"	"unprognostic (5.12e-2)"	"prognostic unfavorable (4.27e-4)"	"unprognostic (5.50e-2)"	"unprognostic (1.70e-2)"	"unprognostic (6.07e-2)"	"unprognostic (2.52e-3)"	"unprognostic (3.46e-2)"	"unprognostic (1.95e-3)"	"unprognostic (7.33e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.71e-2)"	"unprognostic (1.98e-1)"
PPM1K	"BDP, DKFZp761G058, hPTMP, PP2Ckappa, PP2Cm"	ENSG00000163644	"Protein phosphatase, Mg2+/Mn2+ dependent 1K"	Q8N3J5	4	88257620-88284769	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 92.5"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 676.7;dendritic cells: 264.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"lymphoma: 40.2"	"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020066, HPA020862, HPA023891"	Approved		Supported	Mitochondria		No	No			"Cluster 24: B-cells - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 64: Lymphoma - Humoral immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"HPA020066: AB_1855628, HPA020862: AB_1855629, HPA023891: AB_1855630"	"unprognostic (2.38e-2)"	"unprognostic (5.86e-2)"	"unprognostic (7.42e-3)"	"unprognostic (6.70e-3)"	"unprognostic (1.18e-1)"	"unprognostic (1.17e-3)"	"unprognostic (1.87e-1)"	"unprognostic (5.88e-2)"	"unprognostic (5.50e-2)"	"unprognostic (1.41e-2)"	"unprognostic (9.25e-3)"	"unprognostic (6.56e-2)"	"unprognostic (9.82e-2)"	"unprognostic (5.57e-2)"	"unprognostic (1.34e-1)"	"unprognostic (2.11e-1)"	"unprognostic (2.28e-1)"
PPOX	"PPO, VP"	ENSG00000143224	"Protoporphyrinogen oxidase"	P50336	1	161166056-161178013	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Heme biosynthesis, Porphyrin biosynthesis"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Erythroid cells: 60.0;Respiratory ciliated cells: 76.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Respiratory ciliated cells, Skeletal muscle - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA030123	Uncertain		Approved	Vesicles,Mitochondria,Cytosol		NA	NA			"Cluster 12: Non-specific - Basic cellular processes"	"Cluster 76: Brain & Bone marrow - Chromatin organization"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 71: Erythroid cells - Oxygen transport"	Mitochondria	"Vesicles, Cytosol"	"HPA030123: AB_10603987"	"unprognostic (1.17e-1)"	"unprognostic (4.73e-2)"	"unprognostic (9.88e-2)"	"unprognostic (2.13e-2)"	"unprognostic (3.24e-1)"	"unprognostic (1.64e-2)"	"unprognostic (9.58e-3)"	"unprognostic (1.79e-2)"	"unprognostic (9.17e-2)"	"unprognostic (1.17e-1)"	"unprognostic (2.18e-3)"	"unprognostic (7.12e-3)"	"prognostic unfavorable (9.89e-4)"	"unprognostic (6.12e-2)"	"unprognostic (2.23e-1)"	"unprognostic (3.27e-1)"	"unprognostic (1.80e-2)"
PPP1CB	"MP, PP-1B, PP1B, PP1beta, PP1c, PPP1beta"	ENSG00000213639	"Protein phosphatase 1 catalytic subunit beta"	P62140	2	28751640-28802940	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Biological rhythms, Carbohydrate metabolism, Cell cycle, Cell division, Glycogen metabolism"	"Hydrolase, Protein phosphatase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 1092.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA065425, CAB069426"	Supported		Supported	Nucleoplasm,Cytosol		NA	NA		3800000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 59: Non-specific - Translation"	"Cluster 10: Ovarian & Endometrial cancers - Unknown function"	"Cluster 75: Myeloid cells - Innate immune response"	Nucleoplasm	Cytosol	"CAB069426: , HPA065425: AB_2685489"	"unprognostic (2.90e-1)"	"unprognostic (5.03e-2)"	"unprognostic (5.49e-2)"	"unprognostic (2.00e-1)"	"unprognostic (7.08e-2)"	"unprognostic (1.39e-1)"	"prognostic unfavorable (6.52e-6)"	"unprognostic (3.47e-2)"	"unprognostic (2.44e-1)"	"unprognostic (3.15e-2)"	"unprognostic (1.54e-3)"	"unprognostic (3.95e-1)"	"unprognostic (1.68e-1)"	"unprognostic (3.66e-1)"	"unprognostic (1.89e-1)"	"unprognostic (4.56e-1)"	"unprognostic (2.26e-2)"
PPP2CA	"PP2AC, PP2Calpha"	ENSG00000113575	"Protein phosphatase 2 catalytic subunit alpha"	P67775	5	134194332-134226073	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	Meiosis	"Hydrolase, Protein phosphatase"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 351.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB003848, HPA043236"	Approved					NA	NA			"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 34: Non-specific - Transcription"	"Cluster 57: Non-specific - Translation"	"Cluster 75: Myeloid cells - Innate immune response"			"CAB003848: AB_562203, HPA043236: AB_2678379"	"unprognostic (1.44e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.60e-2)"	"unprognostic (3.35e-3)"	"unprognostic (1.26e-1)"	"unprognostic (3.21e-2)"	"prognostic unfavorable (7.33e-5)"	"unprognostic (1.59e-3)"	"unprognostic (1.57e-1)"	"unprognostic (2.02e-1)"	"unprognostic (1.34e-2)"	"unprognostic (1.31e-1)"	"unprognostic (5.24e-2)"	"unprognostic (2.43e-1)"	"unprognostic (1.43e-1)"	"unprognostic (6.14e-2)"	"unprognostic (1.57e-1)"
PPP3CA	"CALN, CALNA, CNA1, PPP2B"	ENSG00000138814	"Protein phosphatase 3 catalytic subunit alpha"	Q08209	4	101023409-101348278	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Calmodulin-binding, Hydrolase, Protein phosphatase"	"Craniosynostosis, Disease variant, Dwarfism, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 144.1"	"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 921.4;Inhibitory neurons: 393.8;Prostatic glandular cells: 370.1"	"Cancer enriched"	"Detected in all"	7	"prostate cancer: 98.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"prostate cancer: 115.4"	"Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA012778, CAB018581"	Enhanced		Enhanced	Nucleoplasm,Cytosol		NA	NA		94000	"Cluster 49: Eosinophils - Unknown function"	"Cluster 10: Brain - Neuronal signaling"	"Cluster 24: Prostate cancer - Lipid metabolism"	"Cluster 38: Neurons - Neuronal signaling"	Nucleoplasm	Cytosol	"CAB018581: AB_2168324, HPA012778: AB_1855660"	"unprognostic (6.66e-2)"	"unprognostic (1.96e-1)"	"unprognostic (3.40e-1)"	"unprognostic (1.36e-1)"	"unprognostic (1.56e-1)"	"unprognostic (7.81e-2)"	"unprognostic (1.77e-2)"	"unprognostic (1.08e-1)"	"unprognostic (7.87e-2)"	"unprognostic (3.49e-3)"	"prognostic unfavorable (3.82e-4)"	"unprognostic (3.38e-2)"	"unprognostic (2.51e-2)"	"unprognostic (5.12e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.84e-2)"	"unprognostic (5.74e-2)"
PPT1	"CLN1, INCL, PPT"	ENSG00000131238	"Palmitoyl-protein thioesterase 1"	P50897	1	40072710-40097260	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Sensory transduction, Vision"	Hydrolase	"Disease variant, Neurodegeneration, Neuronal ceroid lipofuscinosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Hofbauer cells: 286.7;Langerhans cells: 346.9;Macrophages: 246.2;Schwann cells: 216.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"classical monocyte: 1254.3;eosinophil: 624.2;intermediate monocyte: 1006.3;myeloid DC: 1091.1;neutrophil: 683.9;non-classical monocyte: 815.7"	"Group enriched"	"Detected in all"	4	"dendritic cells: 1091.1;granulocytes: 683.9;monocytes: 1254.3"	"Low cancer specificity"	"Detected in all"			"Kidney - Fibroblasts, Lung - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA021546	Supported		Supported	"Golgi apparatus,Vesicles"	"Intracellular and membrane"	NA	NA		240000	"Cluster 25: Monocytes - Inflammatory response"	"Cluster 32: Brain & Lymphoid tissue - Unknown function"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 75: Myeloid cells - Innate immune response"	"Golgi apparatus, Vesicles"		"HPA021546: AB_1855667"	"unprognostic (5.02e-2)"	"unprognostic (2.73e-1)"	"unprognostic (1.64e-1)"	"unprognostic (2.06e-3)"	"unprognostic (6.68e-2)"	"unprognostic (2.83e-2)"	"prognostic unfavorable (6.98e-8)"	"unprognostic (1.39e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.23e-1)"	"unprognostic (8.16e-2)"	"unprognostic (2.39e-1)"	"unprognostic (5.20e-3)"	"unprognostic (1.75e-1)"	"unprognostic (2.30e-1)"	"unprognostic (2.93e-2)"	"unprognostic (2.08e-2)"
PRDM16	"KIAA1675, KMT8F, MEL1, MGC166915, PFM13"	ENSG00000142611	"PR/SET domain 16"	Q9HAZ2	1	3069168-3438621	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Activator, DNA-binding, Methyltransferase, Repressor, Transferase"	"Cancer-related genes, Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 16.2"	"Cell type enriched"	"Detected in many"	5	"Astrocytes: 168.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	16	"NK-cell: 2.4"	"Lineage enriched"	"Detected in single"	16	"NK-cells: 2.4"	"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 4.5"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Enteric glia cells, Skeletal muscle - Smooth muscle cells"	"Region enriched"	"Detected in many"	5	"basal ganglia: 15.7"	"Low region specificity"	"Detected in many"			"HPA050343, HPA060467"			Supported	Nucleoplasm		NA	NA			"Cluster 22: NK-cells - Unknown function"	"Cluster 88: Choroid plexus - Transmembrane transport"	"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 63: Astrocytes - Nervous system maintenance"	Nucleoplasm		"HPA050343: AB_2681099, HPA060467: AB_2684287"	"unprognostic (2.44e-1)"	"unprognostic (1.44e-1)"	"unprognostic (5.31e-4)"	"unprognostic (1.27e-1)"	"unprognostic (1.14e-1)"	"unprognostic (3.95e-2)"	"unprognostic (9.15e-3)"	"unprognostic (5.68e-4)"	"unprognostic (2.58e-1)"	"unprognostic (2.07e-2)"	"unprognostic (5.21e-2)"	"unprognostic (1.71e-1)"	"unprognostic (7.80e-6)"	"unprognostic (2.14e-1)"	"unprognostic (1.73e-1)"	"prognostic unfavorable (4.70e-5)"	"unprognostic (4.06e-2)"
PRDM6	"KMT8C, PRISM"	ENSG00000061455	"PR/SET domain 6"	Q9NQX0	5	123089241-123194266	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Repressor, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"intestine: 4.9;urinary bladder: 9.0"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 14.6;Endometrial stromal cells: 6.0;Excitatory neurons: 7.8;Fibroblasts: 8.6;Inhibitory neurons: 6.3;Oligodendrocytes: 10.3;Smooth muscle cells: 7.5;Theca cells: 8.5"	"Low cancer specificity"	"Detected in some"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Fibroblasts, Skin - Fibroblast_2, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"spinal cord: 2.3"	HPA030324	Uncertain		Approved	Nucleoplasm		NA	NA				"Cluster 12: Smooth muscle tissue - Mixed function"	"Cluster 34: Rabdoid cancer - Embryonic development"	"Cluster 15: Smooth muscle cells - Muscle contraction"	Nucleoplasm		"HPA030324: AB_10670032"	"unprognostic (2.33e-1)"	"unprognostic (1.39e-1)"	"unprognostic (2.18e-1)"	"unprognostic (2.32e-3)"	"unprognostic (3.12e-1)"	"unprognostic (5.44e-2)"	"unprognostic (2.22e-1)"	"unprognostic (1.54e-2)"	"unprognostic (4.66e-2)"	"unprognostic (7.66e-3)"	"unprognostic (1.23e-1)"	"unprognostic (1.92e-2)"	"unprognostic (1.02e-7)"	"unprognostic (9.30e-4)"	"unprognostic (1.10e-1)"	"unprognostic (3.43e-4)"	"unprognostic (1.27e-1)"
PREPL	KIAA0436	ENSG00000138078	"Prolyl endopeptidase like"	Q4J6C6	2	44316281-44361862	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Hydrolase, Protease, Serine protease"	"Congenital myasthenic syndrome, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 239.7;Inhibitory neurons: 214.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA063238	Approved					NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 58: Brain - Synaptic function"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 32: Neurons - Synaptic function"			"HPA063238: AB_2684967"	"unprognostic (5.60e-3)"	"unprognostic (9.81e-2)"	"unprognostic (4.51e-2)"	"unprognostic (4.65e-3)"	"unprognostic (2.22e-1)"	"unprognostic (8.53e-2)"	"unprognostic (5.98e-3)"	"unprognostic (4.38e-3)"	"unprognostic (2.27e-1)"	"unprognostic (2.72e-2)"	"unprognostic (1.52e-2)"	"unprognostic (4.67e-2)"	"unprognostic (2.33e-2)"	"unprognostic (3.79e-1)"	"unprognostic (1.87e-1)"	"unprognostic (1.76e-1)"	"unprognostic (1.75e-1)"
PRF1	"HPLH2, P1, PFP"	ENSG00000180644	"Perforin 1"	P14222	10	70597348-70602759	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	Cytolysis		"Cancer-related genes, Disease variant, Familial hemophagocytic lymphohistiocytosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 28.6;lung: 16.5;lymphoid tissue: 49.4"	"Cell type enriched"	"Detected in some"	4	"NK-cells: 1120.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"gdT-cell: 900.4;MAIT T-cell: 628.8;memory CD8 T-cell: 499.1;naive CD8 T-cell: 313.0;NK-cell: 656.8"	"Group enriched"	"Detected in all"	50	"NK-cells: 656.8;T-cells: 900.4"	"Cancer enriched"	"Detected in some"	7	"lymphoma: 61.8"	"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Heart muscle - T-cells, Lung - NK-cells (Lung), Pancreas - T-cells, Prostate - T-cells, Thyroid - T-cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB002436, HPA037940"	Approved		Approved	Cytosol	"Intracellular and membrane"	NA	NA		2100000	"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 2: Immune cells - Immune response"	"Cluster 54: Lymphoma - Cytokine signaling"	"Cluster 7: NK-cells - Immune response regulation"	Cytosol		"CAB002436: AB_563955, HPA037940: AB_2675747"	"unprognostic (6.11e-3)"	"unprognostic (1.26e-2)"	"unprognostic (1.71e-1)"	"prognostic favorable (2.09e-4)"	"unprognostic (1.87e-2)"	"prognostic favorable (3.54e-4)"	"unprognostic (6.98e-3)"	"unprognostic (2.62e-1)"	"unprognostic (1.44e-3)"	"unprognostic (1.69e-2)"	"unprognostic (5.22e-2)"	"unprognostic (1.45e-1)"	"prognostic unfavorable (1.08e-5)"	"unprognostic (7.38e-2)"	"unprognostic (2.70e-1)"	"unprognostic (7.97e-3)"	"unprognostic (5.22e-3)"
