Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
PIK3R1	"GRB1, p85, p85-ALPHA"	ENSG00000145675	"Phosphoinositide-3-kinase regulatory subunit 1"	P27986	5	68215756-68301821	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Host-virus interaction, Protein transport, Stress response, Transport"		"Cancer-related genes, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 395.3;Endometrial stromal cells: 495.3;NK-cells: 609.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001216, CAB004268"	Approved		Approved	Cytosol		NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 55: Non-specific - Mitochondria & Proteasome"	"Cluster 59: Fibroblasts - Metabolism"	"Cluster 1: T-cells - Immune response"	Cytosol		"CAB004268: AB_628126, HPA001216: AB_1079612"	"unprognostic (5.74e-2)"	"unprognostic (6.58e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.31e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.33e-2)"	"prognostic favorable (8.09e-4)"	"unprognostic (3.78e-3)"	"unprognostic (1.78e-1)"	"unprognostic (2.71e-1)"	"unprognostic (6.10e-2)"	"unprognostic (1.32e-1)"	"unprognostic (4.59e-3)"	"unprognostic (5.66e-3)"	"unprognostic (1.27e-1)"	"unprognostic (5.92e-2)"	"unprognostic (1.54e-1)"
PIK3R2	"p85, P85B"	ENSG00000105647	"Phosphoinositide-3-kinase regulatory subunit 2"	O00459	19	18153163-18170532	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Protein transport, Stress response, Transport"		"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Undifferentiated cells: 15.0"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Sertoli cells, Thyroid - Thyroid glandular cells"									HPA069291	Approved					NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 10: Brain - Neuronal signaling"	"Cluster 53: Non-specific - mRNA processing"	"Cluster 26: Intestinal epithelial cells - Absorption"			"HPA069291: AB_2686109"	"unprognostic (2.50e-1)"	"unprognostic (1.90e-3)"	"unprognostic (1.68e-2)"	"unprognostic (1.87e-1)"	"unprognostic (2.00e-2)"	"unprognostic (9.65e-3)"	"unprognostic (1.69e-3)"	"unprognostic (2.36e-3)"	"unprognostic (9.24e-2)"	"unprognostic (4.28e-2)"	"unprognostic (1.17e-1)"	"unprognostic (3.36e-1)"	"unprognostic (1.69e-2)"	"unprognostic (2.02e-1)"	"unprognostic (6.35e-3)"	"unprognostic (8.63e-2)"	"unprognostic (2.00e-2)"
PIK3R3	p55	ENSG00000117461	"Phosphoinositide-3-kinase regulatory subunit 3"	Q92569	1	46040140-46133036	"Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 188.9;Endothelial cells: 135.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 5.8"	"Group enriched"	"Detected in many"	9	"granulocytes: 5.8;monocytes: 2.4;T-cells: 2.3"	"Low cancer specificity"	"Detected in all"			"Colon - Endothelial cells, Heart muscle - Endothelial cells, Prostate - Endothelial cells, Stomach - Endothelial cells, Testis - Early spermatids, Testis - Spermatocytes"					"Low region specificity"	"Detected in all"			"HPA005751, HPA071988"	Approved		Approved	Nucleoplasm,Vesicles		NA	NA			"Cluster 45: Eosinophils - Innate immune response"	"Cluster 57: Non-specific - Angiogenesis"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 66: Endothelial cells - Angiogenesis"	Vesicles	Nucleoplasm	"HPA005751: AB_1855350, HPA071988: AB_2686479"	"unprognostic (1.98e-1)"	"unprognostic (3.75e-3)"	"unprognostic (8.04e-2)"	"prognostic favorable (1.93e-4)"	"unprognostic (6.32e-2)"	"prognostic favorable (3.62e-4)"	"unprognostic (4.88e-2)"	"unprognostic (3.33e-3)"	"unprognostic (4.16e-2)"	"unprognostic (4.63e-2)"	"unprognostic (1.05e-2)"	"unprognostic (1.45e-1)"	"unprognostic (9.99e-3)"	"unprognostic (2.87e-2)"	"unprognostic (9.74e-2)"	"unprognostic (6.71e-2)"	"unprognostic (8.22e-3)"
PIM1	PIM	ENSG00000137193	"Pim-1 proto-oncogene, serine/threonine kinase"	P11309	6	37170152-37175428	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Apoptosis, Cell cycle"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 219.0"	"Cell type enhanced"	"Detected in many"		"Plasma cells: 187.4;Suprabasal keratinocytes: 212.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 321.3"	"Lineage enriched"	"Detected in all"	4	"granulocytes: 321.3"	"Cancer enhanced"	"Detected in all"		"Leukemia: 186.8"	"Colon - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003941, CAB017040"	Uncertain		Supported	Nucleoplasm,Nucleoli,Cytosol		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 75: Bone marrow - mRNA splicing & Cell cycle"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 16: Non-specific - RNA binding"	Cytosol	"Nucleoplasm, Nucleoli"	"CAB017040: , HPA003941: AB_1079618"	"unprognostic (1.25e-2)"	"unprognostic (4.77e-1)"	"unprognostic (3.61e-2)"	"prognostic unfavorable (9.73e-4)"	"unprognostic (1.91e-2)"	"unprognostic (1.06e-1)"	"unprognostic (3.75e-1)"	"unprognostic (4.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.65e-2)"	"unprognostic (7.32e-2)"	"unprognostic (2.14e-3)"	"unprognostic (8.16e-3)"	"unprognostic (1.04e-1)"	"unprognostic (5.26e-3)"	"unprognostic (2.90e-1)"
PIM2		ENSG00000102096	"Pim-2 proto-oncogene, serine/threonine kinase"	Q9P1W9	X	48913182-48919024	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Cell cycle"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 102.3;intestine: 87.6;lymphoid tissue: 163.9"	"Cell type enriched"	"Detected in many"	5	"Plasma cells: 702.4"	"Cancer enriched"	"Detected in all"	6	"testis cancer: 171.3"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enriched"	"Detected in all"	5	"Myeloma: 803.5"	"Adipose visceral - Plasma cells, Breast - Plasma cells, Lung - Plasma cells, Stomach - Plasma cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA000285			Approved	Cytosol		NA	NA			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 16: Immune cells - Immune response"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 40: Plasma cells - Humoral immune response"	Cytosol		"HPA000285: AB_1079619"	"unprognostic (2.34e-3)"	"prognostic favorable (4.05e-5)"	"unprognostic (8.04e-2)"	"unprognostic (7.30e-2)"	"unprognostic (6.41e-3)"	"unprognostic (2.74e-3)"	"unprognostic (2.84e-1)"	"unprognostic (5.23e-2)"	"unprognostic (2.47e-2)"	"unprognostic (4.01e-2)"	"unprognostic (1.33e-3)"	"unprognostic (2.73e-1)"	"prognostic unfavorable (1.17e-11)"	"unprognostic (3.36e-2)"	"unprognostic (1.96e-2)"	"unprognostic (1.27e-1)"	"unprognostic (4.38e-2)"
PIM3		ENSG00000198355	"Pim-3 proto-oncogene, serine/threonine kinase"	Q86V86	22	49960768-49964072	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Apoptosis, Cell cycle"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 392.9;Langerhans cells: 450.7;Syncytiotrophoblasts: 413.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 20.7"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA068758			Supported	Cytosol		NA	Yes			"Cluster 9: Neutrophils - Innate immune response"	"Cluster 72: Non-specific - Transcription"	"Cluster 39: Non-specific - Unknown function"	"Cluster 75: Myeloid cells - Innate immune response"	Cytosol		"HPA068758: AB_2686026"	"unprognostic (3.67e-2)"	"unprognostic (7.69e-3)"	"unprognostic (1.07e-1)"	"unprognostic (1.11e-1)"	"unprognostic (3.67e-2)"	"unprognostic (5.83e-2)"	"unprognostic (1.48e-2)"	"unprognostic (1.13e-2)"	"unprognostic (2.71e-2)"	"prognostic unfavorable (9.68e-4)"	"unprognostic (2.00e-2)"	"unprognostic (1.00e-1)"	"prognostic favorable (8.09e-4)"	"unprognostic (5.59e-3)"	"unprognostic (1.71e-1)"	"unprognostic (3.92e-3)"	"unprognostic (7.27e-3)"
PIN1	dod	ENSG00000127445	"Peptidylprolyl cis/trans isomerase, NIMA-interacting 1"	Q13526	19	9835257-9849689	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Cell cycle"	"Isomerase, Rotamase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in all"	4	"Late spermatids: 819.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004528, CAB009326, HPA068650, HPA070887"	Enhanced		Supported	Nucleoplasm,Cytosol		NA	NA		120000	"Cluster 31: Non-specific - Inflammatory response"	"Cluster 35: Non-specific - Unknown function"	"Cluster 53: Non-specific - mRNA processing"	"Cluster 16: Non-specific - RNA binding"	Nucleoplasm	Cytosol	"CAB004528: AB_628132, CAB009326: AB_2237080, HPA068650: AB_2686014, HPA070887: "	"unprognostic (2.54e-1)"	"unprognostic (6.14e-3)"	"unprognostic (6.50e-2)"	"unprognostic (4.36e-2)"	"unprognostic (1.71e-2)"	"unprognostic (6.50e-3)"	"unprognostic (1.90e-1)"	"unprognostic (2.86e-2)"	"unprognostic (2.67e-1)"	"unprognostic (7.23e-3)"	"prognostic favorable (3.25e-4)"	"unprognostic (9.43e-2)"	"prognostic favorable (7.80e-5)"	"unprognostic (2.20e-2)"	"unprognostic (2.56e-1)"	"unprognostic (3.13e-2)"	"unprognostic (1.21e-2)"
PIP4K2B	"PIP5K2B, PIP5KIIB, PIP5KIIbeta"	ENSG00000276293	"Phosphatidylinositol-5-phosphate 4-kinase type 2 beta"	P78356	17	38765691-38800126	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA062220			Supported	Nucleoplasm		NA	NA			"Cluster 39: Non-specific - mRNA processing"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 15: Smooth muscle cells - Muscle contraction"	Nucleoplasm		"HPA062220: AB_2684715"	"unprognostic (7.77e-2)"	"unprognostic (8.37e-2)"	"unprognostic (3.74e-2)"	"unprognostic (1.13e-1)"	"unprognostic (2.67e-1)"	"unprognostic (1.91e-1)"	"prognostic unfavorable (4.54e-4)"	"unprognostic (2.64e-1)"	"unprognostic (2.33e-1)"	"unprognostic (1.50e-2)"	"unprognostic (6.10e-3)"	"unprognostic (3.79e-1)"	"unprognostic (4.82e-3)"	"unprognostic (3.38e-2)"	"unprognostic (3.22e-1)"	"prognostic favorable (1.36e-4)"	"unprognostic (2.48e-1)"
PIP5K1A		ENSG00000143398	"Phosphatidylinositol-4-phosphate 5-kinase type 1 alpha"	Q99755	1	151197949-151249536	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029366	Approved		Supported	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA			"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 23: Testis - Cell cycle regulation"	"Cluster 18: Non-specific - RNA binding"	"Cluster 14: Endometrium - Transcription regulation"	"Plasma membrane, Cytosol"	Nucleoplasm	"HPA029366: AB_10602116"	"unprognostic (1.05e-1)"	"unprognostic (2.36e-2)"	"unprognostic (8.64e-2)"	"unprognostic (7.94e-3)"	"unprognostic (1.17e-1)"	"unprognostic (3.28e-2)"	"unprognostic (1.26e-2)"	"unprognostic (3.01e-1)"	"unprognostic (8.79e-2)"	"unprognostic (1.15e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.04e-1)"	"prognostic unfavorable (4.16e-7)"	"unprognostic (1.44e-1)"	"unprognostic (8.14e-2)"	"unprognostic (2.93e-1)"	"unprognostic (1.59e-1)"
PKM	"OIP3, PK3, PKM2, THBP1"	ENSG00000067225	"Pyruvate kinase M1/2"	P14618	15	72199029-72231822	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Glycolysis, Translation regulation"	"Allosteric enzyme, Kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 4207.6;tongue: 2900.8"	"Cell type enhanced"	"Detected in all"		"Basal respiratory cells: 1923.7;Cone photoreceptor cells: 1804.3;Late spermatids: 1795.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"							"CAB019421, HPA029501"	Uncertain		Enhanced	Cytosol		No	No		310000000	"Cluster 25: Monocytes - Inflammatory response"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 68: Kidney - Mixed function"	"Cluster 74: Pancreatic cells - Mixed function"	Cytosol		"CAB019421: AB_2252325, HPA029501: AB_10602118"	"unprognostic (8.73e-3)"	"unprognostic (4.63e-3)"	"unprognostic (1.68e-2)"	"unprognostic (3.09e-1)"	"unprognostic (6.51e-2)"	"prognostic unfavorable (1.30e-4)"	"prognostic unfavorable (2.74e-6)"	"prognostic unfavorable (2.85e-4)"	"unprognostic (9.51e-2)"	"unprognostic (1.17e-2)"	"prognostic unfavorable (5.17e-5)"	"unprognostic (3.16e-1)"	"unprognostic (3.22e-1)"	"unprognostic (7.85e-2)"	"unprognostic (3.17e-2)"	"unprognostic (1.44e-1)"	"unprognostic (1.25e-2)"
PLAG1	ZNF912	ENSG00000181690	"PLAG1 zinc finger"	Q6DJT9	8	56160909-56211324	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Dwarfism, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Melanocytes: 31.3;Microglial cells: 27.4;Rod photoreceptor cells: 30.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA072290			Supported	"Nucleoplasm,Nuclear speckles,Centrosome,Cytosol"		NA	NA			"Cluster 30: Non-specific - Translation"	"Cluster 77: Retina - Visual perception"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 64: Non-specific - Transcription"	"Nucleoplasm, Nuclear speckles"	"Centrosome, Cytosol"	"HPA072290: AB_2686508"	"unprognostic (1.89e-2)"	"unprognostic (1.93e-2)"	"unprognostic (1.22e-3)"	"unprognostic (1.63e-4)"	"unprognostic (6.81e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.63e-3)"	"unprognostic (8.56e-2)"	"unprognostic (1.18e-1)"	"unprognostic (7.99e-2)"	"unprognostic (3.42e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.32e-3)"	"unprognostic (2.83e-2)"	"unprognostic (3.94e-1)"	"unprognostic (1.21e-2)"	"unprognostic (6.14e-2)"
PLAT		ENSG00000104368	"Plasminogen activator, tissue type"	P00750	8	42174718-42207709	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Plasminogen activation"	"Hydrolase, Protease, Serine protease"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"parathyroid gland: 246.0;urinary bladder: 181.4"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 76.2;Basal respiratory cells: 135.4;Breast glandular cells: 100.4;Endometrial stromal cells: 103.1;Endothelial cells: 98.4;Fibroblasts: 92.8;Granulosa cells: 85.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"skin cancer: 260.2"	"Kidney - Endothelial cells, Prostate - Urothelial cells, Testis - Sertoli cells, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003412, CAB009335"	Supported		Approved	"Actin filaments"	"Secreted to blood"	NA	NA	9900000	110000	"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 66: Endothelial cells - Angiogenesis"	"Actin filaments"		"CAB009335: AB_2237146, HPA003412: AB_1858205"	"prognostic favorable (7.57e-4)"	"unprognostic (2.23e-1)"	"unprognostic (4.08e-1)"	"unprognostic (3.39e-1)"	"unprognostic (4.88e-3)"	"unprognostic (9.39e-2)"	"unprognostic (4.65e-3)"	"unprognostic (5.78e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.75e-1)"	"unprognostic (2.98e-3)"	"unprognostic (2.46e-1)"	"prognostic unfavorable (4.95e-4)"	"unprognostic (8.72e-3)"	"unprognostic (1.37e-2)"	"unprognostic (2.63e-2)"	"unprognostic (6.09e-2)"
PLAU	"UPA, URK"	ENSG00000122861	"Plasminogen activator, urokinase"	P00749	10	73909177-73917496	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Blood coagulation, Fibrinolysis, Hemostasis, Plasminogen activation"	"Hydrolase, Protease, Serine protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 103.8;urinary bladder: 128.5"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 215.4;Collecting duct cells: 90.6;Exocrine glandular cells: 124.9;Ionocytes: 131.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	9	"myeloid DC: 1.1;neutrophil: 2.1;plasmacytoid DC: 2.0"	"Group enriched"	"Detected in many"	11	"dendritic cells: 2.0;granulocytes: 2.1"	"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA070796	Supported		Uncertain	"Golgi apparatus,Vesicles"	"Secreted to blood"	NA	NA	647000	88000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 82: Adipose tissue - ECM organization"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 74: Pancreatic cells - Mixed function"	"Golgi apparatus, Vesicles"		"HPA070796: "	"unprognostic (1.96e-2)"	"unprognostic (2.99e-2)"	"unprognostic (7.40e-2)"	"prognostic favorable (3.38e-4)"	"unprognostic (4.73e-2)"	"prognostic unfavorable (2.70e-4)"	"unprognostic (1.39e-2)"	"prognostic unfavorable (4.04e-4)"	"unprognostic (2.26e-1)"	"unprognostic (6.58e-2)"	"prognostic unfavorable (1.32e-4)"	"unprognostic (1.61e-1)"	"prognostic unfavorable (3.51e-4)"	"unprognostic (2.83e-1)"	"unprognostic (3.37e-2)"	"unprognostic (1.51e-2)"	"unprognostic (1.77e-2)"
PLAUR	"CD87, UPAR, URKR"	ENSG00000011422	"Plasminogen activator, urokinase receptor"	Q03405	19	43646095-43670547	"Cancer-related genes, CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Receptor	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	6	"bone marrow: 688.4"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 819.0;Langerhans cells: 2323.1;Macrophages: 691.5;monocytes: 1607.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 1172.3"	"Group enriched"	"Detected in all"	4	"granulocytes: 1172.3;monocytes: 550.7"	"Low cancer specificity"	"Detected in all"			"Thyroid - Neutrophils"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"HPA050843, CAB073533"	Uncertain		Supported	"Plasma membrane"	"Intracellular and membrane"	NA	NA		4100000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 75: Myeloid cells - Innate immune response"	"Plasma membrane"		"CAB073533: , HPA050843: AB_2681255"	"unprognostic (9.28e-2)"	"unprognostic (9.65e-3)"	"unprognostic (1.39e-1)"	"unprognostic (1.29e-3)"	"unprognostic (3.59e-3)"	"unprognostic (1.50e-2)"	"unprognostic (2.18e-3)"	"prognostic unfavorable (2.33e-5)"	"unprognostic (8.08e-3)"	"unprognostic (4.30e-2)"	"unprognostic (2.29e-3)"	"unprognostic (5.30e-2)"	"prognostic unfavorable (7.83e-9)"	"unprognostic (4.99e-2)"	"unprognostic (1.66e-1)"	"unprognostic (5.45e-2)"	"unprognostic (9.33e-2)"
