,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
P07948,0.9533050599197719,15.0,0.8707908885060275,0.029613777276178362,Tyrosine-protein kinase Lyn ,1.0,Myeloid_leukemia
P11047,0.7298618281412497,1.0,0.18790882242449658,0.0546770016060685,Laminin subunit gamma-1 ,2.0,Myeloid_leukemia
P35580,0.5533536332339261,1.0,0.23753917943427383,0.044849637878579894,Myosin-10 ,3.0,Myeloid_leukemia
O00754,0.5429197707087867,15.0,0.9350201731752703,0.09509346578020621,Lysosomal alpha-mannosidase ,4.0,Myeloid_leukemia
Q07065,0.5280036703003952,1.0,0.5467541169866434,0.03447847545675516,Cytoskeleton-associated protein 4 ,5.0,Myeloid_leukemia
P17301,0.5177292775432669,4.0,0.17421751857394097,0.05624439385839111,Integrin alpha-2 ,6.0,Myeloid_leukemia
O75828,0.3918631377694039,3.0,0.2207926101299702,0.04207731421081332,Carbonyl reductase [NADPH] 3 ,7.0,Myeloid_leukemia
P19174,0.3690996310492348,1.0,0.09929320566041655,0.06881656126305855,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",8.0,Myeloid_leukemia
Q8TDZ2,0.36475131643730396,15.0,0.7570235164733532,0.39165074141624423,[F-actin]-monooxygenase MICAL1 ,9.0,Myeloid_leukemia
Q08380,0.36280582813638546,1.0,0.16662998503596438,0.0835878226567795,Galectin-3-binding protein ,10.0,Myeloid_leukemia
Q8IWE2,0.33515270152414534,1.0,0.1411051195093297,0.0860479764962685,Protein NOXP20 ,11.0,Myeloid_leukemia
P14923,0.3348642275289752,1.0,0.30325400266029245,0.056938080171013185,Junction plakoglobin ,12.0,Myeloid_leukemia
Q8N392,0.3120815905210222,14.0,0.7505876379547338,0.3572868351953521,Rho GTPase-activating protein 18 ,13.0,Myeloid_leukemia
P30740,0.3059211575423831,15.0,0.8023842385072022,0.04694511571298728,Leukocyte elastase inhibitor ,14.0,Myeloid_leukemia
P16401,0.29914992019892417,15.0,0.9348594025825551,0.21924730937052186,Histone H1.5 ,15.0,Myeloid_leukemia
P27105,0.29786340491404184,14.0,0.7835483047430711,0.026315543125860718,Stomatin ,16.0,Myeloid_leukemia
P32119,0.2942432474941893,1.0,0.28894897603011094,0.07686345447882081,Peroxiredoxin-2 ,17.0,Myeloid_leukemia
Q16352,0.28914368005231966,3.0,0.19434635683831247,0.16838950813173303,Alpha-internexin ,18.0,Myeloid_leukemia
Q14247,0.2827410170158174,2.0,0.40453998077370346,0.047573097692040635,Src substrate cortactin ,19.0,Myeloid_leukemia
Q9UKN8,0.2720683854461552,2.0,0.11726309086538567,0.0657551102075572,General transcription factor 3C polypeptide 4 ,20.0,Myeloid_leukemia
Q6WKZ4,0.26420119330406305,14.0,0.43951462873488967,0.2161789923275121,Rab11 family-interacting protein 1 ,21.0,Myeloid_leukemia
P08648,0.25869790797590764,12.0,0.6263671457262012,0.3111432402346325,Integrin alpha-5 ,22.0,Myeloid_leukemia
P19367,0.25556122131951486,1.0,0.492634343383259,0.15101210125997114,Hexokinase-1 ,23.0,Myeloid_leukemia
Q8TEM1,0.2544486875582143,15.0,0.785480894509469,0.11346607283049248,Nuclear pore membrane glycoprotein 210 ,24.0,Myeloid_leukemia
P48960,0.24460739474179222,14.0,0.8110961860935182,0.028492948925263228,Adhesion G protein-coupled receptor E5 ,25.0,Myeloid_leukemia
Q9BST9,0.2347933716518611,3.0,0.14270537692081042,0.04027873502593793,Rhotekin,26.0,Myeloid_leukemia
Q9NUQ3,0.224689733911767,2.0,0.32635244018105636,0.011620115895991738,Gamma-taxilin ,27.0,Myeloid_leukemia
P31947,0.2169034140923196,1.0,0.26277915418054787,0.06278794856840555,14-3-3 protein sigma ,28.0,Myeloid_leukemia
P29350,0.20949717273195764,15.0,0.9688926202825088,0.012839296574678786,Tyrosine-protein phosphatase non-receptor type 6 ,29.0,Myeloid_leukemia
Q9Y5V3,0.20407775363840588,2.0,0.15459605073117688,0.03795901397320767,Melanoma-associated antigen D1 ,30.0,Myeloid_leukemia
O00154,0.19554051523593366,1.0,0.2509702067998736,0.06728966787355564,Cytosolic acyl coenzyme A thioester hydrolase ,31.0,Myeloid_leukemia
O75976,0.19469244062208257,2.0,0.16912064725023446,0.06995206072105252,Carboxypeptidase D ,32.0,Myeloid_leukemia
O00592,0.19003105553737937,2.0,0.1442380953183744,0.031601760498777304,Podocalyxin ,33.0,Myeloid_leukemia
Q7L5N7,0.18776431560154178,15.0,0.8049883133394411,0.11803028939518259,Lysophosphatidylcholine acyltransferase 2 ,34.0,Myeloid_leukemia
Q16658,0.17950747647495596,10.0,0.8436282311360521,0.28779343009966685,Fascin ,35.0,Myeloid_leukemia
P15924,0.17639773368909095,3.0,0.40595557026905654,0.17615807627578514,Desmoplakin ,36.0,Myeloid_leukemia
Q8NBS9,0.17601327853329812,1.0,0.40424226738769575,0.04694995533661554,Thioredoxin domain-containing protein 5 ,37.0,Myeloid_leukemia
Q13151,0.17310966937408004,4.0,0.4542040484870292,0.06076150358315887,Heterogeneous nuclear ribonucleoprotein A0 ,38.0,Myeloid_leukemia
Q9NU22,0.16798425731511377,13.0,0.5382765183345111,0.22248448089179926,Midasin ,39.0,Myeloid_leukemia
Q8IVF2,0.16766820783810313,2.0,0.14770137011473217,0.046113055686786135,Protein AHNAK2,40.0,Myeloid_leukemia
Q02952,0.1660083582224115,1.0,0.19767892276592025,0.11906046349228173,A-kinase anchor protein 12 ,41.0,Myeloid_leukemia
P11498,0.1580497819143609,3.0,0.33230108172614636,0.0632452317432865,"Pyruvate carboxylase, mitochondrial ",42.0,Myeloid_leukemia
Q14116,0.1572099331517968,13.0,0.7095856442397792,0.07087558471593239,Interleukin-18 ,43.0,Myeloid_leukemia
O43719,0.15646151297921812,3.0,0.3176461335975139,0.27247696633244756,HIV Tat-specific factor 1 ,44.0,Myeloid_leukemia
P26006,0.15476030299634552,4.0,0.1898397235410033,0.1529948278771506,Integrin alpha-3 ,45.0,Myeloid_leukemia
P16989,0.1540860554303842,3.0,0.5170319160961503,0.1382500618837592,Y-box-binding protein 3 ,46.0,Myeloid_leukemia
O43707,0.14739070420995973,12.0,0.7512042267916508,0.02014169069548149,Alpha-actinin-4 ,47.0,Myeloid_leukemia
Q14126,0.14308499745306064,2.0,0.26196125465407927,0.07317048095743249,Desmoglein-2 ,48.0,Myeloid_leukemia
Q9UIQ6,0.13773306171440722,5.0,0.4001026002243616,0.1782320812211519,Leucyl-cystinyl aminopeptidase ,49.0,Myeloid_leukemia
Q8IVT2,0.13392891078069427,4.0,0.24555727328805083,0.10744130812641481,Mitotic interactor and substrate of PLK1 ,50.0,Myeloid_leukemia
Q96RS6,0.1333820532749154,12.0,0.7830938689889896,0.11402528239003235,NudC domain-containing protein 1 ,51.0,Myeloid_leukemia
Q96DG6,0.12357335276796791,1.0,0.2500616116559039,0.042623527454462184,Carboxymethylenebutenolidase homolog ,52.0,Myeloid_leukemia
Q9BW60,0.11999779133155009,12.0,0.6840230110604355,0.3684372682980135,Elongation of very long chain fatty acids protein 1 ,53.0,Myeloid_leukemia
P43121,0.11653875413685513,2.0,0.22785037478050146,0.06586666783249122,Cell surface glycoprotein MUC18 ,54.0,Myeloid_leukemia
P46821,0.11214324590358717,2.0,0.232413707697181,0.09601201751844823,Microtubule-associated protein 1B ,55.0,Myeloid_leukemia
P29373,0.10884479818388203,3.0,0.27939216686445845,0.06564128657325084,Cellular retinoic acid-binding protein 2 ,56.0,Myeloid_leukemia
P20700,0.10444393893408752,12.0,0.7025038060363493,0.23004060880874516,Lamin-B1,57.0,Myeloid_leukemia
P35998,0.10349827218648062,12.0,0.893739781209848,0.04384230528123053,26S proteasome regulatory subunit 7 ,58.0,Myeloid_leukemia
P32004,0.10300425145485165,1.0,0.09577548464243646,0.06644227415587722,Neural cell adhesion molecule L1 ,59.0,Myeloid_leukemia
Q9UKK3,0.10004543255762968,5.0,0.3367141229341597,0.12000249703216237,Protein mono-ADP-ribosyltransferase PARP4 ,60.0,Myeloid_leukemia
P21980,0.09920516002824098,9.0,0.6379024771523876,0.35489102059521627,Protein-glutamine gamma-glutamyltransferase 2 ,61.0,Myeloid_leukemia
O00425,0.09814028380334502,1.0,0.43751310471370275,0.03836483260858313,Insulin-like growth factor 2 mRNA-binding protein 3 ,62.0,Myeloid_leukemia
Q9UHR4,0.09545608672929912,1.0,0.2032320200256591,0.0676221115418141,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,63.0,Myeloid_leukemia
P31146,0.09112277205864906,14.0,0.7490077036451788,0.01683481541234033,Coronin-1A ,64.0,Myeloid_leukemia
Q6NZI2,0.0856583485036169,4.0,0.3622360685519749,0.06841590532960659,Caveolae-associated protein 1 ,65.0,Myeloid_leukemia
Q01970,0.07979065595168347,4.0,0.41580281980747136,0.1415227521418088,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",66.0,Myeloid_leukemia
Q9Y223,0.07928519968763781,11.0,0.6390277389939829,0.23883541954496756,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,67.0,Myeloid_leukemia
P16403,0.07626109465669378,9.0,0.6764763289955724,0.19716970918975354,Histone H1.2 ,68.0,Myeloid_leukemia
Q96TA1,0.07537667310204091,14.0,0.8096821214540563,0.3696568559877551,Protein Niban 2 ,69.0,Myeloid_leukemia
Q9UIG0,0.07259876744635686,10.0,0.5816080747918002,0.15500235723595476,Tyrosine-protein kinase BAZ1B ,70.0,Myeloid_leukemia
Q14151,0.07080876986124685,13.0,0.6927139844240437,0.20052665610561832,Scaffold attachment factor B2 ,71.0,Myeloid_leukemia
Q9BZQ8,0.06952266764420027,12.0,0.6789631184359954,0.3024910509955409,Protein Niban 1 ,72.0,Myeloid_leukemia
Q9Y5Q9,0.06865142544584893,12.0,0.49394275279519995,0.19299543802762376,General transcription factor 3C polypeptide 3 ,73.0,Myeloid_leukemia
P16144,0.06638576255466333,3.0,0.1542016177778916,0.07128769324607612,Integrin beta-4 ,74.0,Myeloid_leukemia
P20962,0.0660113666701577,5.0,0.31426373111215467,0.047692141902513294,Parathymosin,75.0,Myeloid_leukemia
Q92922,0.06512138771730641,12.0,0.6240868894654367,0.19583694232189042,SWI/SNF complex subunit SMARCC1 ,76.0,Myeloid_leukemia
Q99959,0.06117062397877615,3.0,0.22953761451999788,0.08282865237726882,Plakophilin-2,77.0,Myeloid_leukemia
Q08J23,0.05936609396579576,14.0,0.7589207588890555,0.13076812862356083,RNA cytosine C,78.0,Myeloid_leukemia
Q99584,0.05802274211175105,3.0,0.5110458994946467,0.0961417467744366,Protein S100-A13 ,79.0,Myeloid_leukemia
Q8NI08,0.05299865564732523,10.0,0.44747460388420757,0.19788616461184802,Nuclear receptor coactivator 7 ,80.0,Myeloid_leukemia
Q9Y490,0.05163741078471966,12.0,0.8528318378687091,0.15010507031540088,Talin-1,81.0,Myeloid_leukemia
P05787,0.04918581014438314,4.0,0.3552649597127186,0.09476019805317754,"Keratin, type II cytoskeletal 8 ",82.0,Myeloid_leukemia
P40121,0.04491370596686811,12.0,0.5173859916500416,0.2163386276810544,Macrophage-capping protein ,83.0,Myeloid_leukemia
P50552,0.04070063914047699,9.0,0.6560672032292977,0.3619421506348196,Vasodilator-stimulated phosphoprotein ,84.0,Myeloid_leukemia
Q9NTX5,0.03946060990641191,10.0,0.5526072792373911,0.218676281546732,Ethylmalonyl-CoA decarboxylase ,85.0,Myeloid_leukemia
P21266,0.03372423258849567,6.0,0.2861261899764811,0.13449980511416043,Glutathione S-transferase Mu 3 ,86.0,Myeloid_leukemia
O75475,0.03257397066727816,6.0,0.5200396057196548,0.16904015010759188,PC4 and SFRS1-interacting protein ,87.0,Myeloid_leukemia
Q9UJC3,0.03088955130376971,2.0,0.3204178563699387,0.0852585203529059,Protein Hook homolog 1 ,88.0,Myeloid_leukemia
P20290,0.03073772122288826,8.0,0.5390229815715366,0.29124616559806393,Transcription factor BTF3 ,89.0,Myeloid_leukemia
O60701,0.02831748350200053,5.0,0.5354247893383093,0.21821163024653087,UDP-glucose 6-dehydrogenase ,90.0,Myeloid_leukemia
Q8IYS1,0.026657810190565998,6.0,0.3206245840999289,0.13502677204340707,Peptidase M20 domain-containing protein 2 ,91.0,Myeloid_leukemia
P80723,0.026457761506198264,5.0,0.5714930636862141,0.11803899120951901,Brain acid soluble protein 1 ,92.0,Myeloid_leukemia
P26447,0.025786098187802073,14.0,0.6376642593331361,0.29601616321639385,Protein S100-A4 ,93.0,Myeloid_leukemia
O95817,0.02560580154935629,9.0,0.5431096669414253,0.13097635321027107,BAG family molecular chaperone regulator 3 ,94.0,Myeloid_leukemia
Q15029,0.02479105554648728,9.0,0.5928855822536174,0.10488154124515804,116 kDa U5 small nuclear ribonucleoprotein component ,95.0,Myeloid_leukemia
Q9BWF3,0.02323355042855261,6.0,0.47061410244158364,0.3404110726858653,RNA-binding protein 4 ,96.0,Myeloid_leukemia
Q16762,0.021699157212701197,5.0,0.31009321916686816,0.1023526531239752,Thiosulfate sulfurtransferase ,97.0,Myeloid_leukemia
P62877,0.020941329793896603,5.0,0.6298959623686295,0.32089011214393365,E3 ubiquitin-protein ligase RBX1 ,98.0,Myeloid_leukemia
Q9NZM1,0.01982460894000173,6.0,0.5967610130181165,0.2342425034357857,Myoferlin ,99.0,Myeloid_leukemia
Q15459,0.0181869956955189,13.0,0.7477490826959465,0.03993004117137948,Splicing factor 3A subunit 1 ,100.0,Myeloid_leukemia
Q92616,0.01799617679967756,13.0,0.7066587362745413,0.049562575260057896,eIF-2-alpha kinase activator GCN1 ,101.0,Myeloid_leukemia
Q9Y5Z4,0.015098587122146814,6.0,0.6139181343606579,0.23245353142313982,Heme-binding protein 2 ,102.0,Myeloid_leukemia
P30038,0.01437558829593492,14.0,0.5524079162921915,0.16295206304415497,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",103.0,Myeloid_leukemia
P04083,0.012981990368234405,8.0,0.7389069468079118,0.021664903891543935,Annexin A1 ,104.0,Myeloid_leukemia
P52594,0.012793755871311863,4.0,0.43169736476320475,0.10231060984346348,Arf-GAP domain and FG repeat-containing protein 1 ,105.0,Myeloid_leukemia
Q9UDT6,0.011936509225635179,5.0,0.35413874830153586,0.18589934297687605,CAP-Gly domain-containing linker protein 2 ,106.0,Myeloid_leukemia
P12814,0.01150278951586659,9.0,0.5081404690484993,0.22301380918934707,Alpha-actinin-1 ,107.0,Myeloid_leukemia
Q3KQU3,0.01026543800033442,8.0,0.5299424139550915,0.19874076576766334,MAP7 domain-containing protein 1 ,108.0,Myeloid_leukemia
Q10589,0.009398636954495098,8.0,0.5065032114075364,0.21559620607419,Bone marrow stromal antigen 2 ,109.0,Myeloid_leukemia
P51452,0.008762614595896846,8.0,0.44381316358171974,0.19551455664305412,Dual specificity protein phosphatase 3 ,110.0,Myeloid_leukemia
P18206,0.008183841610612225,8.0,0.8127243564382716,0.03753615640246884,Vinculin ,111.0,Myeloid_leukemia
P78527,0.006821890117474734,13.0,0.8667431816039599,0.032964992164908495,DNA-dependent protein kinase catalytic subunit ,112.0,Myeloid_leukemia
P78417,0.006476013097722895,9.0,0.4901727258339641,0.3597258762980955,Glutathione S-transferase omega-1 ,113.0,Myeloid_leukemia
Q9NR30,0.005666974085827255,7.0,0.7664313959076808,0.13555542867087716,Nucleolar RNA helicase 2 ,114.0,Myeloid_leukemia
P09382,0.005665580126666507,12.0,0.7876095992729585,0.2009215203584824,Galectin-1 ,115.0,Myeloid_leukemia
P29218,0.0053558581565025225,10.0,0.4703502899767518,0.18611348336982353,Inositol monophosphatase 1 ,116.0,Myeloid_leukemia
Q8TBX8,0.004485995405543037,8.0,0.3592987467073441,0.2483116862493615,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,117.0,Myeloid_leukemia
Q92820,0.0037170159540487087,10.0,0.6072774951319084,0.30421677317770485,Gamma-glutamyl hydrolase ,118.0,Myeloid_leukemia
Q15555,0.0032185014639182444,6.0,0.4187189795450489,0.2250332856227726,Microtubule-associated protein RP/EB family member 2 ,119.0,Myeloid_leukemia
Q9Y5B9,0.0029180540716696483,7.0,0.7515623004570153,0.0255288629203832,FACT complex subunit SPT16 ,120.0,Myeloid_leukemia
Q9UHD8,0.0020146533720357875,7.0,0.39585394539517793,0.1639810195122816,Septin-9 ,121.0,Myeloid_leukemia
P12956,0.0019477763651475088,5.0,0.41884395686477754,0.16879632595851699,X-ray repair cross-complementing protein 6 ,122.0,Myeloid_leukemia
Q8WUF5,0.001731960274154846,2.0,0.18150863914556814,0.06496930961943617,RelA-associated inhibitor ,123.0,Myeloid_leukemia
Q9HC35,0.0013583070711247099,9.0,0.3336290045046637,0.20103760992926628,Echinoderm microtubule-associated protein-like 4 ,124.0,Myeloid_leukemia
Q9UQE7,0.0011680444134256202,8.0,0.7382569828229307,0.08045442007069206,Structural maintenance of chromosomes protein 3 ,125.0,Myeloid_leukemia
O75533,0.0005989849362378262,6.0,0.720708905308265,0.01795616840759577,Splicing factor 3B subunit 1 ,126.0,Myeloid_leukemia
P49720,-8.376779339770886e-05,8.0,0.5011206560588888,0.18501394496285617,Proteasome subunit beta type-3 ,127.0,Myeloid_leukemia
P00338,-0.0001703178054991276,6.0,0.714266472816727,0.09269697615444702,L-lactate dehydrogenase A chain ,128.0,Myeloid_leukemia
P61978,-0.00023418125127996426,3.0,0.4301337874619096,0.2252758827073602,Heterogeneous nuclear ribonucleoprotein K ,129.0,Myeloid_leukemia
Q99943,-0.000907593135225451,14.0,0.5689554820241784,0.2487768120665222,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,130.0,Myeloid_leukemia
Q7Z2K8,-0.0015799339288138925,11.0,0.39695992733881086,0.32777239334439356,G protein-regulated inducer of neurite outgrowth 1 ,131.0,Myeloid_leukemia
Q14676,-0.0042383556519171705,6.0,0.4437799669043986,0.24503084655606563,Mediator of DNA damage checkpoint protein 1 ,132.0,Myeloid_leukemia
P11766,-0.005538326358570801,8.0,0.5642265010874001,0.11151351375063612,Alcohol dehydrogenase class-3 ,133.0,Myeloid_leukemia
P26038,-0.006339589366041761,15.0,0.9702082066029376,0.019104707797923906,Moesin ,134.0,Myeloid_leukemia
Q15393,-0.007357629474173006,10.0,0.7050837885663647,0.0550934788600734,Splicing factor 3B subunit 3 ,135.0,Myeloid_leukemia
P08670,-0.007840686646362657,11.0,0.6449239003188244,0.01772717314269257,Vimentin,136.0,Myeloid_leukemia
Q9NS86,-0.0082697071339079,14.0,0.5707130572688939,0.11194487905549302,LanC-like protein 2 ,137.0,Myeloid_leukemia
P48681,-0.008955340308641325,9.0,0.5130439498952281,0.20858047262566026,Nestin,138.0,Myeloid_leukemia
A0MZ66,-0.01218056907334737,4.0,0.3616683285796322,0.07560270669014779,Shootin-1 ,139.0,Myeloid_leukemia
P23246,-0.012441262487931285,8.0,0.7062382392074305,0.09197264209943189,"Splicing factor, proline- and glutamine-rich ",140.0,Myeloid_leukemia
Q08211,-0.013797768899653659,6.0,0.6660791008511684,0.0524139475581722,ATP-dependent RNA helicase A ,141.0,Myeloid_leukemia
Q9NZN4,-0.016400291420153403,5.0,0.3278054440843425,0.17739750410942381,EH domain-containing protein 2 ,142.0,Myeloid_leukemia
Q9BZK3,-0.016405978227579845,10.0,0.5800227488472994,0.263653639970536,Putative nascent polypeptide-associated complex subunit alpha-like protein ,143.0,Myeloid_leukemia
P05783,-0.01900291034738169,5.0,0.28621258860462223,0.05984315161420889,"Keratin, type I cytoskeletal 18 ",144.0,Myeloid_leukemia
P12270,-0.020934712734221827,6.0,0.5921486355491024,0.03425077253917798,Nucleoprotein TPR ,145.0,Myeloid_leukemia
O60264,-0.022065081871441294,6.0,0.6212656940130996,0.013691614038538174,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,146.0,Myeloid_leukemia
Q14764,-0.02361620917531525,8.0,0.6355310084507642,0.2727719477269871,Major vault protein ,147.0,Myeloid_leukemia
P11388,-0.025347893215860076,6.0,0.4767684877566418,0.24205856290356917,DNA topoisomerase 2-alpha ,148.0,Myeloid_leukemia
Q96CX2,-0.02589545130443119,10.0,0.5615937764529171,0.21682630976646783,BTB/POZ domain-containing protein KCTD12 ,149.0,Myeloid_leukemia
P17655,-0.028279598184907728,11.0,0.7001324706510144,0.282499448514698,Calpain-2 catalytic subunit ,150.0,Myeloid_leukemia
Q15149,-0.03229596747079183,8.0,0.528199304060526,0.04424209040340885,Plectin ,151.0,Myeloid_leukemia
Q9Y446,-0.03511454576458335,1.0,0.23649969981335572,0.04326754311708699,Plakophilin-3,152.0,Myeloid_leukemia
Q12965,-0.049929816289440404,11.0,0.6100368641245604,0.34616193919766275,Unconventional myosin-Ie ,153.0,Myeloid_leukemia
Q53EP0,-0.05635751387548151,10.0,0.5707917980741555,0.32317805954716045,Fibronectin type III domain-containing protein 3B ,154.0,Myeloid_leukemia
P62805,-0.06458464958933079,6.0,0.6517621262199109,0.08582740996435201,Histone H4,155.0,Myeloid_leukemia
P46013,-0.0775938433631243,6.0,0.41279439402226364,0.314843027565799,Proliferation marker protein Ki-67 ,156.0,Myeloid_leukemia
P05091,-0.07890932924143597,3.0,0.38526284599408606,0.05742196648394581,"Aldehyde dehydrogenase, mitochondrial ",157.0,Myeloid_leukemia
P48735,-0.07952027778110778,13.0,0.7611679625152741,0.11615369494232279,"Isocitrate dehydrogenase [NADP], mitochondrial ",158.0,Myeloid_leukemia
Q14315,-0.08322892104855034,6.0,0.4088432508497259,0.18343006394747144,Filamin-C ,159.0,Myeloid_leukemia
Q9UGI8,-0.10431281278901076,9.0,0.6882678566236508,0.020676632069482684,Testin ,160.0,Myeloid_leukemia
Q96HQ2,-0.19901348460502,13.0,0.6375531356696005,0.24805214185850216,CDKN2AIP N-terminal-like protein ,161.0,Myeloid_leukemia
Q7Z2K8,0.7482446866845498,15.0,0.7738761606464517,0.12614094002763532,G protein-regulated inducer of neurite outgrowth 1 ,1.0,Neuroblastoma
A0MZ66,0.5829164493616943,1.0,0.15779032475006396,0.0891304388484355,Shootin-1 ,2.0,Neuroblastoma
Q8NI08,0.5572252100189822,15.0,0.7173923126917191,0.1996821076961016,Nuclear receptor coactivator 7 ,3.0,Neuroblastoma
P32004,0.513147889437826,15.0,0.6793230069690239,0.11363433597841724,Neural cell adhesion molecule L1 ,4.0,Neuroblastoma
P16989,0.5039891670008173,1.0,0.3650154428698942,0.0368145466299642,Y-box-binding protein 3 ,5.0,Neuroblastoma
P48681,0.47946534471421326,14.0,0.8554333851026705,0.08753937388128723,Nestin,6.0,Neuroblastoma
P46821,0.45687739316623033,15.0,0.8645869497997143,0.051797805112656296,Microtubule-associated protein 1B ,7.0,Neuroblastoma
P00338,0.4146682725517171,1.0,0.3934886256412614,0.24188703590462676,L-lactate dehydrogenase A chain ,8.0,Neuroblastoma
P07948,0.39292221533166033,13.0,0.6948879300535369,0.09967447491020581,Tyrosine-protein kinase Lyn ,9.0,Neuroblastoma
Q9UHD8,0.3801042956590021,14.0,0.7346523528305123,0.08731768654770984,Septin-9 ,10.0,Neuroblastoma
P15924,0.36889978793090716,1.0,0.3207490258970255,0.11942505709423208,Desmoplakin ,11.0,Neuroblastoma
P30740,0.36585104588282674,2.0,0.2086478034787469,0.06675398803217625,Leukocyte elastase inhibitor ,12.0,Neuroblastoma
P50552,0.33698847583662933,1.0,0.3290412363616331,0.14605406442557858,Vasodilator-stimulated phosphoprotein ,13.0,Neuroblastoma
Q99943,0.3309561517379876,15.0,0.7004822256044289,0.15695534299444766,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,14.0,Neuroblastoma
Q12965,0.32695667146911794,2.0,0.18382601462230336,0.03172667196158064,Unconventional myosin-Ie ,15.0,Neuroblastoma
Q99584,0.3061689572263554,2.0,0.44197631178477303,0.08682013437660017,Protein S100-A13 ,16.0,Neuroblastoma
Q14126,0.30353966860520953,3.0,0.29728478384249774,0.07996032118497155,Desmoglein-2 ,17.0,Neuroblastoma
P04083,0.30203504625975675,1.0,0.4128538133583932,0.046291860913697185,Annexin A1 ,18.0,Neuroblastoma
Q9UKN8,0.2862056325470304,15.0,0.8034145060862017,0.11855387475692097,General transcription factor 3C polypeptide 4 ,19.0,Neuroblastoma
Q9Y223,0.2734926293140398,14.0,0.751481307636302,0.053911735980589334,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,20.0,Neuroblastoma
P20290,0.26498416509890504,15.0,0.8587225332270817,0.08099658765807806,Transcription factor BTF3 ,21.0,Neuroblastoma
Q6NZI2,0.2424030180571033,3.0,0.3122509046139147,0.05389060774448063,Caveolae-associated protein 1 ,22.0,Neuroblastoma
P29373,0.24237125342108867,14.0,0.6899652179577098,0.2207114236522475,Cellular retinoic acid-binding protein 2 ,23.0,Neuroblastoma
Q9UHR4,0.23375874115872755,3.0,0.23317248757078968,0.0377491137261378,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,24.0,Neuroblastoma
P05787,0.22083669876437168,1.0,0.31078183906874657,0.10369561355807592,"Keratin, type II cytoskeletal 8 ",25.0,Neuroblastoma
Q9NZM1,0.21730105426936253,3.0,0.30532604684000386,0.06802887177494708,Myoferlin ,26.0,Neuroblastoma
P16401,0.21607048710752746,13.0,0.8975922606109069,0.12916108948697338,Histone H1.5 ,27.0,Neuroblastoma
P08648,0.21288828134604657,3.0,0.2497978547593557,0.08584196515208219,Integrin alpha-5 ,28.0,Neuroblastoma
Q9BZQ8,0.2081097813008407,4.0,0.29724072756353986,0.07506322397279222,Protein Niban 1 ,29.0,Neuroblastoma
Q16352,0.20470269392311727,15.0,0.7126950261358134,0.24311204496919978,Alpha-internexin ,30.0,Neuroblastoma
O95817,0.20405141717268088,2.0,0.3079131433268294,0.2123990173658799,BAG family molecular chaperone regulator 3 ,31.0,Neuroblastoma
P51452,0.1969203553705666,4.0,0.24449843188919088,0.08559616451236127,Dual specificity protein phosphatase 3 ,32.0,Neuroblastoma
Q9UKK3,0.19005445833152643,1.0,0.20140885071444853,0.07990498405249494,Protein mono-ADP-ribosyltransferase PARP4 ,33.0,Neuroblastoma
O75976,0.18840201833226755,15.0,0.7193032179579729,0.07564748094754838,Carboxypeptidase D ,34.0,Neuroblastoma
Q16658,0.17911307833532336,15.0,0.945655207957865,0.01730957527977202,Fascin ,35.0,Neuroblastoma
Q96HQ2,0.1782257154062558,14.0,0.7178019292130157,0.16844565420007634,CDKN2AIP N-terminal-like protein ,36.0,Neuroblastoma
Q8N392,0.16936805112699546,3.0,0.2506246521420669,0.07413964424657288,Rho GTPase-activating protein 18 ,37.0,Neuroblastoma
P11498,0.16268984064461747,14.0,0.72033096261041,0.03784665239639204,"Pyruvate carboxylase, mitochondrial ",38.0,Neuroblastoma
Q9NTX5,0.16056360996389954,5.0,0.2887107698222142,0.28954620151930194,Ethylmalonyl-CoA decarboxylase ,39.0,Neuroblastoma
Q10589,0.1557096941427652,1.0,0.29974603150281914,0.08003307226698951,Bone marrow stromal antigen 2 ,40.0,Neuroblastoma
P35998,0.14677239628161295,13.0,0.9065583147001414,0.08673087751104437,26S proteasome regulatory subunit 7 ,41.0,Neuroblastoma
Q9UDT6,0.14576602838470315,12.0,0.5507766182787248,0.13798095707785552,CAP-Gly domain-containing linker protein 2 ,42.0,Neuroblastoma
Q92820,0.14179532332132772,12.0,0.7593591600328566,0.05966402903441526,Gamma-glutamyl hydrolase ,43.0,Neuroblastoma
P62877,0.1380787638523821,3.0,0.4682716644466778,0.17457512621752266,E3 ubiquitin-protein ligase RBX1 ,44.0,Neuroblastoma
